building_type,area_sqm,floors,location,foundation_type,roof_type,has_basement,has_parking,labor_rate,total_cost
Commercial,10495,2,Rural,Pile,Pitched,1,1,11300,50000000
Residential,848,14,Urban,Slab,Pitched,0,0,8800,36801944
Commercial,4766,12,Urban,Slab,Flat,1,0,14300,50000000
Residential,6976,9,Urban,Pile,Flat,1,0,13900,50000000
Commercial,13055,10,Suburban,Slab,Dome,0,1,9200,50000000
Commercial,8641,4,Urban,Concrete,Pitched,1,0,8700,50000000
Residential,5667,7,Rural,Pile,Flat,0,0,14500,50000000
Commercial,6077,19,Suburban,Concrete,Pitched,1,1,12200,50000000
Residential,2376,2,Urban,Pile,Pitched,1,1,10200,13006468
Industrial,3779,9,Suburban,Pile,Pitched,1,0,8900,50000000
Industrial,3557,4,Suburban,Slab,Dome,0,0,10700,35197817
Industrial,9274,18,Rural,Slab,Dome,0,1,10700,50000000
Residential,11234,12,Urban,Slab,Dome,1,1,11500,50000000
Residential,4107,9,Suburban,Slab,Dome,0,0,6200,50000000
Industrial,3947,13,Urban,Concrete,Dome,0,1,5600,50000000
Industrial,12067,5,Suburban,Pile,Dome,0,1,5600,50000000
Industrial,11505,18,Suburban,Pile,Pitched,1,1,6900,50000000
Industrial,13152,19,Urban,Pile,Dome,1,0,6500,50000000
Commercial,13252,18,Suburban,Slab,Flat,0,1,6400,50000000
Residential,4603,18,Rural,Pile,Pitched,1,0,8200,50000000
Residential,8779,20,Suburban,Concrete,Flat,1,1,3200,50000000
Residential,1221,5,Rural,Pile,Pitched,0,1,14800,18994221
Commercial,3125,14,Rural,Slab,Flat,0,0,10400,50000000
Residential,6152,11,Suburban,Pile,Dome,0,0,6100,50000000
Commercial,388,14,Urban,Concrete,Dome,1,1,4400,15160776
Commercial,14331,16,Suburban,Concrete,Flat,0,1,9200,50000000
Residential,4300,14,Rural,Concrete,Pitched,0,1,4900,50000000
Commercial,7015,7,Rural,Pile,Dome,1,1,7500,50000000
Commercial,8576,11,Rural,Slab,Pitched,0,1,14200,50000000
Commercial,10569,15,Urban,Concrete,Flat,1,1,7900,50000000
Industrial,3300,16,Suburban,Slab,Pitched,0,1,4000,50000000
Residential,7477,16,Urban,Slab,Flat,1,1,3500,50000000
Industrial,261,18,Suburban,Concrete,Pitched,1,1,8500,12296886
Industrial,913,8,Suburban,Slab,Pitched,0,1,12300,22996617
Residential,12133,3,Urban,Concrete,Flat,1,0,3100,50000000
Residential,2717,5,Rural,Slab,Dome,0,0,6700,37505760
Industrial,13915,5,Rural,Pile,Flat,1,1,8000,50000000
Commercial,14385,16,Rural,Pile,Pitched,1,0,7100,50000000
Residential,8112,7,Urban,Concrete,Pitched,1,1,5500,50000000
Commercial,14460,10,Urban,Slab,Dome,0,1,5300,50000000
Industrial,1627,8,Suburban,Concrete,Flat,0,1,12000,46846242
Industrial,1083,11,Rural,Concrete,Pitched,0,0,13500,35509024
Residential,2123,10,Suburban,Concrete,Flat,0,0,9600,50000000
Industrial,2163,1,Rural,Pile,Dome,0,1,6600,4780977
Residential,10822,5,Rural,Pile,Pitched,0,0,5700,50000000
Commercial,6525,4,Urban,Slab,Flat,0,1,7600,50000000
Industrial,5917,20,Suburban,Slab,Flat,0,0,13900,50000000
Commercial,11535,11,Suburban,Concrete,Dome,0,0,3000,50000000
Residential,500,7,Rural,Concrete,Dome,1,1,4700,8820988
Commercial,10820,5,Suburban,Slab,Dome,1,1,9300,50000000
Industrial,8458,6,Suburban,Slab,Flat,0,1,6300,50000000
Residential,4765,3,Rural,Concrete,Flat,0,1,5500,20220010
Residential,9605,3,Suburban,Slab,Flat,0,0,14500,50000000
Commercial,2691,14,Suburban,Pile,Dome,0,0,4800,50000000
Residential,10022,3,Suburban,Concrete,Pitched,1,0,12000,50000000
Commercial,4309,6,Rural,Pile,Flat,1,1,5900,40898998
Residential,10727,1,Rural,Slab,Flat,1,1,10500,27410785
Residential,10944,12,Suburban,Pile,Dome,0,1,4600,50000000
Residential,14566,14,Suburban,Concrete,Flat,1,1,5300,50000000
Residential,3927,7,Rural,Concrete,Dome,1,0,10300,50000000
Commercial,10736,20,Urban,Pile,Dome,1,1,11400,50000000
Commercial,3452,6,Rural,Slab,Pitched,1,1,7300,50000000
Commercial,9916,18,Suburban,Slab,Flat,0,0,14700,50000000
Commercial,13217,16,Urban,Pile,Pitched,1,1,7800,50000000
Commercial,8413,18,Rural,Slab,Dome,0,1,14200,50000000
Residential,12657,14,Rural,Pile,Flat,0,1,3500,50000000
Industrial,4597,16,Urban,Slab,Pitched,0,1,13500,50000000
Industrial,9516,20,Rural,Concrete,Pitched,0,1,7600,50000000
Industrial,8264,2,Rural,Slab,Pitched,0,1,3100,31752242
Industrial,6338,11,Suburban,Concrete,Dome,1,1,8500,50000000
Industrial,7485,16,Rural,Slab,Pitched,1,0,9300,50000000
Commercial,7198,18,Rural,Concrete,Pitched,0,0,6400,50000000
Commercial,11353,20,Rural,Slab,Dome,0,1,6100,50000000
Residential,7943,12,Suburban,Concrete,Pitched,0,0,14200,50000000
Industrial,1367,15,Urban,Slab,Dome,1,1,6300,50000000
Residential,8801,2,Rural,Slab,Dome,0,1,8700,44325666
Industrial,12491,12,Rural,Pile,Pitched,0,0,3800,50000000
Industrial,8642,1,Rural,Concrete,Flat,0,1,13900,23208347
Industrial,2176,5,Rural,Slab,Pitched,0,1,10200,29672239
Commercial,14840,5,Rural,Concrete,Flat,1,1,12400,50000000
Residential,11397,6,Rural,Concrete,Pitched,1,1,7500,50000000
Residential,782,7,Rural,Slab,Flat,1,1,4300,9013405
Commercial,6180,7,Rural,Slab,Dome,1,1,3700,50000000
Industrial,2164,6,Urban,Slab,Pitched,1,1,6100,35918006
Residential,14105,8,Suburban,Concrete,Pitched,0,1,12200,50000000
Industrial,10978,13,Urban,Pile,Flat,0,1,13300,50000000
Commercial,4129,10,Urban,Slab,Flat,0,1,12600,50000000
Residential,904,13,Urban,Slab,Dome,0,1,3100,30118159
Industrial,13725,16,Urban,Slab,Dome,1,1,6900,50000000
Industrial,12880,19,Rural,Concrete,Dome,1,0,9500,50000000
Commercial,11642,14,Suburban,Concrete,Pitched,1,1,4600,50000000
Industrial,13687,2,Rural,Slab,Flat,0,1,7900,50000000
Industrial,9436,8,Suburban,Concrete,Dome,0,1,13100,50000000
Commercial,13947,13,Suburban,Slab,Pitched,1,1,13300,50000000
Commercial,5238,7,Suburban,Slab,Pitched,1,1,12900,50000000
Industrial,4156,3,Suburban,Slab,Flat,0,1,5700,38524864
Commercial,10466,16,Urban,Pile,Pitched,0,1,13400,50000000
Industrial,11055,16,Suburban,Slab,Dome,1,1,8400,50000000
Industrial,11087,13,Suburban,Slab,Dome,1,1,3600,50000000
Residential,10587,12,Rural,Slab,Flat,0,1,5200,50000000
Residential,12022,19,Rural,Pile,Dome,1,0,5700,50000000
Commercial,13911,10,Suburban,Concrete,Dome,0,1,6900,50000000
Industrial,3604,14,Suburban,Concrete,Dome,0,1,9100,50000000
Industrial,1997,13,Urban,Slab,Flat,1,1,4500,50000000
Residential,10740,10,Urban,Concrete,Dome,0,0,10600,50000000
Commercial,4225,6,Suburban,Pile,Pitched,1,1,5500,50000000
Commercial,14982,13,Rural,Slab,Pitched,1,0,10200,50000000
Industrial,11807,16,Rural,Concrete,Flat,0,1,14300,50000000
Industrial,11426,18,Rural,Concrete,Pitched,0,1,7900,50000000
Residential,1610,5,Rural,Slab,Dome,1,1,6900,19908645
Commercial,9560,20,Suburban,Slab,Pitched,0,1,5200,50000000
Commercial,2520,13,Rural,Pile,Flat,0,0,12000,50000000
Residential,4687,9,Suburban,Concrete,Flat,1,1,4000,50000000
Commercial,12945,11,Suburban,Slab,Dome,0,1,8700,50000000
Commercial,7981,11,Suburban,Slab,Pitched,1,1,7600,50000000
Commercial,11340,20,Suburban,Concrete,Dome,1,1,12000,50000000
Residential,7218,8,Suburban,Slab,Flat,1,1,3000,50000000
Residential,11690,1,Suburban,Slab,Flat,1,0,3500,31638386
Industrial,1724,1,Urban,Pile,Pitched,0,0,5500,4087017
Industrial,3311,4,Urban,Slab,Dome,0,1,4900,50000000
Industrial,7619,18,Rural,Slab,Flat,1,1,4700,50000000
Commercial,14909,9,Suburban,Concrete,Flat,1,1,13000,50000000
Residential,4009,13,Urban,Pile,Pitched,0,1,3100,50000000
Residential,11390,3,Rural,Concrete,Pitched,1,0,11200,50000000
Industrial,14647,7,Suburban,Pile,Dome,0,1,4000,50000000
Commercial,5160,18,Rural,Pile,Pitched,1,1,12000,50000000
Industrial,4161,11,Rural,Slab,Pitched,0,0,9400,50000000
Industrial,4414,5,Suburban,Concrete,Pitched,0,0,5400,50000000
Commercial,5049,17,Rural,Pile,Dome,0,0,3200,50000000
Industrial,3250,1,Urban,Concrete,Flat,1,1,11200,11401968
Industrial,5326,1,Urban,Pile,Dome,1,1,4900,20652790
Commercial,4233,12,Rural,Concrete,Dome,0,1,3700,50000000
Industrial,6292,19,Suburban,Pile,Pitched,0,1,6000,50000000
Commercial,7381,11,Rural,Concrete,Pitched,1,0,10800,50000000
Residential,4654,16,Urban,Slab,Pitched,1,0,8400,50000000
Residential,14536,4,Rural,Concrete,Dome,0,0,6000,50000000
Industrial,2466,9,Suburban,Pile,Pitched,0,0,5400,50000000
Commercial,6389,14,Suburban,Concrete,Dome,0,1,9700,50000000
Residential,11525,20,Urban,Pile,Flat,1,0,7100,50000000
Industrial,7248,7,Rural,Pile,Dome,0,0,12600,50000000
Residential,674,1,Suburban,Pile,Pitched,1,1,11300,2513322
Industrial,4543,17,Rural,Slab,Pitched,1,1,12100,50000000
Residential,2962,9,Suburban,Pile,Flat,1,1,14500,50000000
Residential,7432,7,Rural,Pile,Dome,0,1,4600,50000000
Industrial,11834,5,Urban,Slab,Flat,1,1,3500,50000000
Commercial,9162,2,Urban,Slab,Flat,0,1,13400,50000000
Commercial,14143,12,Suburban,Slab,Dome,1,1,11800,50000000
Commercial,9502,20,Urban,Pile,Pitched,1,0,13300,50000000
Commercial,2554,13,Rural,Concrete,Dome,1,1,4400,50000000
Commercial,6164,19,Urban,Pile,Flat,1,1,11200,50000000
Residential,5835,7,Rural,Pile,Pitched,0,1,3700,50000000
Industrial,3352,7,Suburban,Concrete,Pitched,0,1,12000,50000000
Residential,11149,19,Urban,Concrete,Dome,0,1,13400,50000000
Commercial,6219,15,Urban,Slab,Dome,1,1,5600,50000000
Residential,8221,7,Urban,Slab,Pitched,1,1,5000,50000000
Commercial,10446,9,Rural,Slab,Flat,1,0,13900,50000000
Industrial,13554,14,Rural,Concrete,Pitched,0,1,11800,50000000
Residential,3421,13,Rural,Pile,Dome,0,1,3100,50000000
Industrial,9666,18,Urban,Concrete,Flat,1,1,8900,50000000
Residential,5304,8,Rural,Pile,Flat,1,1,6700,50000000
Industrial,2051,20,Suburban,Pile,Dome,0,1,6000,50000000
Commercial,14614,3,Suburban,Pile,Pitched,0,0,12000,50000000
Residential,13441,15,Rural,Pile,Pitched,0,1,13000,50000000
Industrial,13758,2,Suburban,Concrete,Pitched,0,1,8600,50000000
Commercial,539,20,Rural,Pile,Pitched,0,1,12100,25707695
Commercial,4498,2,Suburban,Concrete,Flat,1,0,8900,34407508
Residential,7144,3,Rural,Slab,Flat,0,0,13700,50000000
Commercial,12887,9,Suburban,Concrete,Pitched,0,0,14100,50000000
Residential,14694,12,Suburban,Concrete,Pitched,1,1,6600,50000000
Industrial,1496,13,Urban,Slab,Pitched,1,1,8300,50000000
Industrial,9949,17,Rural,Pile,Pitched,0,1,14400,50000000
Industrial,14842,20,Suburban,Slab,Pitched,0,1,15000,50000000
Industrial,2422,10,Urban,Slab,Pitched,1,0,5700,50000000
Residential,13679,19,Urban,Concrete,Flat,1,1,10000,50000000
Industrial,5310,12,Suburban,Slab,Pitched,1,1,13900,50000000
Residential,1510,2,Rural,Slab,Dome,1,1,7100,8941810
Commercial,10683,19,Rural,Concrete,Flat,0,0,5300,50000000
Industrial,14337,10,Urban,Slab,Flat,0,0,8000,50000000
Commercial,830,19,Urban,Slab,Flat,0,0,12000,50000000
Industrial,383,18,Suburban,Concrete,Flat,0,0,7800,16326165
Industrial,11638,18,Rural,Concrete,Flat,1,1,12900,50000000
Industrial,12923,2,Suburban,Concrete,Flat,1,1,9800,50000000
Commercial,546,9,Urban,Concrete,Flat,1,0,11400,17601656
Residential,12525,2,Suburban,Concrete,Dome,1,0,8100,50000000
Residential,12771,3,Rural,Concrete,Pitched,1,0,15000,50000000
Commercial,7233,11,Suburban,Concrete,Pitched,1,1,7700,50000000
Industrial,1092,1,Urban,Concrete,Pitched,1,0,14400,4313446
Residential,3872,4,Urban,Slab,Pitched,0,1,5400,43592261
Commercial,6103,16,Urban,Pile,Flat,1,1,5800,50000000
Residential,3846,5,Rural,Concrete,Pitched,1,1,7100,39118735
Commercial,5511,13,Urban,Concrete,Pitched,1,0,4700,50000000
Residential,2463,5,Urban,Slab,Pitched,0,0,11500,39081397
Industrial,4711,7,Rural,Pile,Pitched,0,1,6800,50000000
Residential,10392,11,Rural,Pile,Dome,0,1,11200,50000000
Residential,13263,8,Urban,Pile,Flat,0,0,6700,50000000
Residential,14475,11,Urban,Pile,Dome,0,1,9100,50000000
Industrial,11039,15,Suburban,Pile,Pitched,1,1,13300,50000000
Residential,10266,2,Rural,Slab,Dome,0,1,9800,50000000
Industrial,13262,18,Urban,Pile,Flat,1,1,4900,50000000
Industrial,6100,10,Suburban,Slab,Dome,1,0,14700,50000000
Commercial,2928,1,Urban,Slab,Dome,1,1,8300,11679662
Industrial,2362,14,Rural,Slab,Dome,1,0,13300,50000000
Industrial,2155,5,Urban,Concrete,Flat,0,1,11300,38244375
Residential,12773,14,Suburban,Concrete,Pitched,0,1,10000,50000000
Industrial,8363,14,Rural,Slab,Dome,1,0,11500,50000000
Residential,2128,11,Suburban,Concrete,Flat,0,1,9300,50000000
Commercial,12178,1,Rural,Pile,Flat,1,0,13500,34632918
Commercial,9281,11,Urban,Pile,Pitched,1,0,10400,50000000
Residential,10375,4,Rural,Concrete,Flat,1,1,13400,50000000
Industrial,2004,20,Suburban,Slab,Dome,0,1,12200,50000000
Residential,7898,16,Rural,Pile,Pitched,1,1,7500,50000000
Commercial,11238,16,Rural,Concrete,Dome,0,1,7500,50000000
Industrial,10721,19,Rural,Concrete,Flat,0,0,12200,50000000
Commercial,2666,11,Rural,Slab,Flat,0,0,7600,50000000
Residential,1591,19,Urban,Slab,Dome,0,0,6600,50000000
Residential,12217,15,Urban,Pile,Flat,1,1,4100,50000000
Industrial,1725,1,Rural,Concrete,Flat,1,1,5900,5399444
Commercial,4532,12,Suburban,Concrete,Dome,0,1,11900,50000000
Commercial,3403,11,Urban,Pile,Flat,0,1,4000,50000000
Industrial,11844,4,Rural,Pile,Dome,0,1,6800,50000000
Industrial,2412,17,Urban,Slab,Dome,0,1,10000,50000000
Industrial,9102,16,Rural,Slab,Flat,0,0,7700,50000000
Industrial,14499,13,Urban,Concrete,Pitched,0,0,8400,50000000
Commercial,12835,14,Rural,Slab,Pitched,1,0,13400,50000000
Industrial,10330,10,Urban,Pile,Flat,1,1,5200,50000000
Industrial,14541,12,Urban,Concrete,Dome,0,1,9200,50000000
Commercial,10460,20,Suburban,Concrete,Flat,0,1,14400,50000000
Industrial,11795,10,Urban,Pile,Flat,1,1,6900,50000000
Commercial,9560,2,Rural,Concrete,Dome,1,1,8700,50000000
Industrial,2458,7,Urban,Concrete,Dome,1,1,12200,50000000
Commercial,2087,11,Rural,Slab,Dome,0,1,4600,49287932
Commercial,7333,11,Suburban,Pile,Dome,1,1,8400,50000000
Commercial,791,20,Suburban,Slab,Flat,1,1,7700,37240161
Commercial,13354,6,Urban,Pile,Pitched,0,1,11300,50000000
Residential,7074,5,Urban,Slab,Dome,0,1,9400,50000000
Commercial,7938,15,Urban,Pile,Flat,1,1,14700,50000000
Residential,13983,19,Urban,Slab,Dome,1,1,14300,50000000
Industrial,2921,9,Rural,Concrete,Pitched,1,1,6900,50000000
Residential,11800,18,Rural,Pile,Dome,0,0,13900,50000000
Residential,4942,20,Rural,Pile,Pitched,0,1,5400,50000000
Commercial,4846,3,Suburban,Pile,Dome,0,1,4100,50000000
Residential,10194,18,Rural,Slab,Flat,0,1,3000,50000000
Residential,6926,7,Urban,Pile,Flat,0,1,7800,50000000
Residential,3583,11,Urban,Concrete,Flat,0,0,15000,50000000
Commercial,7976,10,Urban,Concrete,Dome,0,1,8700,50000000
Residential,14801,12,Urban,Concrete,Dome,1,1,14300,50000000
Industrial,9601,8,Urban,Pile,Dome,0,1,4800,50000000
Residential,14559,3,Suburban,Concrete,Pitched,1,1,11500,50000000
Residential,9260,1,Urban,Concrete,Pitched,1,1,12200,43407813
Residential,2597,6,Suburban,Slab,Dome,0,1,4000,30269541
Commercial,8922,1,Rural,Slab,Pitched,0,0,4400,18495916
Commercial,6405,4,Urban,Pile,Dome,0,0,13800,50000000
Commercial,9325,17,Urban,Concrete,Pitched,0,1,14600,50000000
Commercial,13060,7,Rural,Slab,Flat,0,1,12600,50000000
Residential,10467,6,Suburban,Slab,Dome,1,1,8500,50000000
Industrial,9952,13,Suburban,Slab,Dome,0,1,10300,50000000
Residential,5841,19,Rural,Pile,Dome,1,1,6100,50000000
Residential,987,16,Urban,Pile,Pitched,1,1,3400,32323496
Commercial,2021,19,Urban,Slab,Pitched,0,1,3800,50000000
Commercial,3573,11,Urban,Slab,Dome,0,1,10500,50000000
Commercial,4532,15,Suburban,Concrete,Dome,1,1,5100,50000000
Commercial,7164,10,Rural,Concrete,Pitched,1,0,4800,50000000
Residential,8463,7,Urban,Pile,Flat,1,1,12700,50000000
Residential,13464,19,Rural,Slab,Pitched,1,1,3200,50000000
Commercial,3624,14,Suburban,Pile,Pitched,0,1,5900,50000000
Commercial,13946,15,Urban,Pile,Dome,0,0,4000,50000000
Residential,11808,1,Urban,Slab,Flat,0,1,12000,34528823
Residential,14824,17,Urban,Slab,Flat,1,0,8700,50000000
Residential,13216,3,Rural,Slab,Pitched,1,1,10600,50000000
Commercial,2449,17,Urban,Concrete,Pitched,1,1,14400,50000000
Residential,13204,7,Urban,Concrete,Flat,1,0,9300,50000000
Industrial,12224,17,Rural,Concrete,Dome,0,0,8500,50000000
Commercial,6609,15,Rural,Pile,Flat,0,1,12100,50000000
Residential,3503,18,Suburban,Slab,Dome,0,0,14400,50000000
Residential,10466,8,Suburban,Slab,Flat,1,0,6500,50000000
Commercial,13064,13,Urban,Slab,Dome,0,0,7900,50000000
Residential,13903,18,Rural,Slab,Flat,1,1,12600,50000000
Industrial,3391,16,Urban,Pile,Dome,0,1,13000,50000000
Commercial,4219,7,Urban,Concrete,Flat,0,0,9800,50000000
Industrial,11770,15,Urban,Pile,Pitched,0,0,10900,50000000
Residential,7391,18,Suburban,Slab,Dome,1,1,13800,50000000
Residential,6854,6,Rural,Concrete,Pitched,0,1,13400,50000000
Industrial,9587,17,Urban,Concrete,Flat,1,1,11900,50000000
Residential,6642,17,Rural,Concrete,Flat,0,0,10700,50000000
Residential,4831,2,Suburban,Pile,Pitched,1,1,5300,20604080
Residential,2089,16,Rural,Slab,Pitched,1,1,5800,50000000
Residential,4638,8,Rural,Concrete,Dome,0,0,7300,50000000
Industrial,9174,4,Urban,Pile,Pitched,0,1,10200,50000000
Commercial,5712,11,Rural,Concrete,Flat,0,0,6400,50000000
Industrial,3922,11,Urban,Concrete,Flat,1,0,3900,50000000
Residential,12731,20,Urban,Slab,Flat,0,0,8800,50000000
Residential,14844,16,Urban,Concrete,Flat,1,0,7500,50000000
Commercial,3631,20,Rural,Pile,Pitched,1,1,3900,50000000
Commercial,7634,14,Urban,Slab,Dome,1,0,13100,50000000
Residential,7291,3,Rural,Concrete,Flat,1,0,5500,38784281
Industrial,3525,5,Suburban,Pile,Dome,0,0,12200,50000000
Industrial,6194,2,Suburban,Pile,Pitched,0,0,12400,34398589
Industrial,5877,5,Urban,Slab,Flat,1,1,7500,50000000
Residential,12020,10,Rural,Concrete,Pitched,0,1,12300,50000000
Commercial,1586,13,Urban,Slab,Pitched,1,1,7000,50000000
Residential,10416,15,Rural,Slab,Dome,0,1,12000,50000000
Residential,1346,1,Suburban,Pile,Dome,0,0,4900,2860465
Residential,5948,20,Rural,Slab,Flat,0,1,3900,50000000
Residential,12412,12,Urban,Pile,Pitched,1,0,11300,50000000
Residential,6873,12,Rural,Pile,Pitched,0,0,11300,50000000
Residential,2671,17,Urban,Slab,Dome,1,1,10800,50000000
Industrial,10222,16,Suburban,Concrete,Flat,0,1,7700,50000000
Commercial,5932,2,Suburban,Slab,Flat,0,1,13600,44529873
Residential,7874,11,Urban,Slab,Dome,0,0,8900,50000000
Commercial,10082,14,Rural,Concrete,Pitched,1,1,5900,50000000
Industrial,1704,19,Suburban,Slab,Flat,0,1,8300,50000000
Residential,8263,9,Urban,Slab,Pitched,0,1,11700,50000000
Residential,9151,5,Suburban,Slab,Flat,0,1,14700,50000000
Commercial,6979,13,Rural,Concrete,Pitched,1,1,12100,50000000
Industrial,12447,10,Suburban,Slab,Flat,1,1,12200,50000000
Residential,12946,1,Suburban,Concrete,Flat,0,0,12700,30785397
Industrial,9121,7,Urban,Pile,Dome,1,1,4800,50000000
Commercial,11919,18,Rural,Slab,Dome,1,0,13900,50000000
Commercial,5866,12,Urban,Pile,Pitched,0,1,7400,50000000
Commercial,6932,9,Rural,Concrete,Flat,1,1,15000,50000000
Commercial,5548,14,Rural,Pile,Pitched,0,1,12200,50000000
Residential,14728,3,Urban,Slab,Flat,1,0,12800,50000000
Industrial,922,11,Urban,Concrete,Dome,1,1,15000,31641829
Commercial,7175,7,Urban,Concrete,Pitched,0,1,4400,50000000
Industrial,13452,9,Urban,Slab,Dome,1,0,4800,50000000
Commercial,7955,8,Rural,Pile,Dome,1,0,3300,50000000
Industrial,12154,15,Urban,Pile,Pitched,0,0,12100,50000000
Residential,14738,2,Rural,Concrete,Dome,0,0,13500,50000000
Residential,9388,13,Urban,Concrete,Pitched,1,1,6700,50000000
Residential,11735,3,Rural,Concrete,Flat,0,1,12600,50000000
Residential,13937,7,Suburban,Concrete,Dome,1,0,11800,50000000
Residential,8739,10,Suburban,Pile,Pitched,1,0,7300,50000000
Industrial,4726,10,Suburban,Concrete,Flat,0,0,8100,50000000
Industrial,3073,10,Urban,Pile,Flat,1,1,13800,50000000
Industrial,13558,6,Suburban,Pile,Flat,0,1,12500,50000000
Residential,7582,19,Suburban,Concrete,Flat,1,1,11400,50000000
Commercial,8793,12,Urban,Slab,Pitched,0,1,7000,50000000
Residential,2605,8,Rural,Pile,Dome,0,1,3100,25413552
Residential,9677,18,Rural,Concrete,Dome,1,1,14800,50000000
Commercial,14562,12,Suburban,Pile,Dome,0,1,11100,50000000
Commercial,11563,6,Urban,Slab,Flat,1,1,4200,50000000
Industrial,11957,10,Urban,Pile,Pitched,1,1,7800,50000000
Commercial,11184,2,Suburban,Slab,Dome,0,1,5800,50000000
Residential,13118,17,Suburban,Pile,Dome,0,0,8700,50000000
Commercial,13603,11,Suburban,Concrete,Dome,0,1,7600,50000000
Residential,11711,19,Urban,Slab,Flat,0,0,4000,50000000
Industrial,11523,17,Rural,Slab,Pitched,0,1,14400,50000000
Residential,10135,9,Suburban,Concrete,Pitched,0,0,13600,50000000
Residential,2923,10,Suburban,Concrete,Pitched,0,1,6500,50000000
Industrial,6712,7,Urban,Slab,Pitched,1,1,9300,50000000
Commercial,12677,14,Rural,Pile,Dome,1,1,11400,50000000
Residential,10999,15,Urban,Slab,Flat,0,0,9400,50000000
Commercial,2817,20,Suburban,Pile,Flat,1,1,5300,50000000
Residential,7943,3,Rural,Concrete,Pitched,1,1,4400,50000000
Commercial,3924,6,Suburban,Slab,Flat,0,1,8400,50000000
Residential,14121,12,Suburban,Concrete,Dome,0,1,5500,50000000
Residential,7530,16,Suburban,Concrete,Pitched,0,1,14000,50000000
Industrial,9878,14,Suburban,Concrete,Dome,1,1,4200,50000000
Commercial,14983,4,Rural,Concrete,Flat,1,1,3300,50000000
Industrial,10375,3,Urban,Concrete,Pitched,0,1,11900,50000000
Residential,13613,14,Suburban,Concrete,Pitched,0,1,7500,50000000
Residential,10393,8,Urban,Pile,Dome,0,0,3500,50000000
Residential,8594,7,Urban,Pile,Pitched,0,0,13600,50000000
Commercial,6312,19,Suburban,Pile,Pitched,0,0,11900,50000000
Residential,5095,13,Suburban,Pile,Flat,1,1,12300,50000000
Commercial,1866,4,Rural,Concrete,Pitched,0,1,14500,25288888
Commercial,4042,17,Suburban,Concrete,Flat,0,1,11500,50000000
Residential,6885,6,Urban,Concrete,Dome,1,1,10000,50000000
Industrial,11277,13,Urban,Slab,Flat,0,1,5300,50000000
Commercial,9941,20,Suburban,Pile,Pitched,0,1,4200,50000000
Commercial,13691,18,Rural,Slab,Pitched,1,1,6500,50000000
Industrial,4894,10,Urban,Concrete,Flat,0,1,8100,50000000
Commercial,4991,12,Suburban,Slab,Pitched,1,1,14000,50000000
Residential,6637,2,Urban,Pile,Flat,0,0,11300,42270303
Residential,4213,12,Rural,Pile,Dome,1,1,3000,50000000
